path	module	domain	type	size_bytes	purpose	search_keys
internal/store/sqlc/.gitkeep	internal	store-sql	file	0	应用级持久化 store	internal,store,sqlc,应用级持久化
internal/store/sqlc/agent_feedback.sql.go	internal	store-sql	go-source	5732	应用级持久化 store	internal,store,sqlc,agent,feedback,sql,应用级持久化
internal/store/sqlc/agent_provider_binding.sql.go	internal	store-sql	go-source	8633	应用级持久化 store	internal,store,sqlc,agent,provider,binding,sql,应用级持久化
internal/store/sqlc/agent_status.sql.go	internal	store-sql	go-source	3530	应用级持久化 store	internal,store,sqlc,agent,status,sql,应用级持久化
internal/store/sqlc/agent_thread_prompt_snapshot.sql.go	internal	store-sql	go-source	1413	应用级持久化 store	internal,store,sqlc,agent,thread,prompt,snapshot,sql,应用级持久化
internal/store/sqlc/agent_thread.sql.go	internal	store-sql	go-source	35611	应用级持久化 store	internal,store,sqlc,agent,thread,sql,应用级持久化
internal/store/sqlc/ai_log.sql.go	internal	store-sql	go-source	8568	应用级持久化 store	internal,store,sqlc,ai,log,sql,应用级持久化
internal/store/sqlc/audit_log.sql.go	internal	store-sql	go-source	2848	应用级持久化 store	internal,store,sqlc,audit,log,sql,应用级持久化
internal/store/sqlc/bus_log.sql.go	internal	store-sql	go-source	3111	应用级持久化 store	internal,store,sqlc,bus,log,sql,应用级持久化
internal/store/sqlc/command_card.sql.go	internal	store-sql	go-source	11055	应用级持久化 store	internal,store,sqlc,command,card,sql,应用级持久化
internal/store/sqlc/cron_job.sql.go	internal	store-sql	go-source	33342	应用级持久化 store	internal,store,sqlc,cron,job,sql,应用级持久化
internal/store/sqlc/cwd_lock.sql.go	internal	store-sql	go-source	4665	应用级持久化 store	internal,store,sqlc,cwd,lock,sql,应用级持久化
internal/store/sqlc/datasource_v2.sql.go	internal	store-sql	go-source	15794	应用级持久化 store	internal,store,sqlc,datasource,v2,sql,应用级持久化
internal/store/sqlc/datasource.sql.go	internal	store-sql	go-source	6742	应用级持久化 store	internal,store,sqlc,datasource,sql,应用级持久化
internal/store/sqlc/db_query.sql.go	internal	store-sql	go-source	1026	应用级持久化 store	internal,store,sqlc,db,query,sql,应用级持久化
internal/store/sqlc/db.go	internal	store-sql	go-source	597	应用级持久化 store	internal,store,sqlc,db,应用级持久化
internal/store/sqlc/hook_pending_review.sql.go	internal	store-sql	go-source	16501	应用级持久化 store	internal,store,sqlc,hook,pending,review,sql,应用级持久化
internal/store/sqlc/interaction.sql.go	internal	store-sql	go-source	5498	应用级持久化 store	internal,store,sqlc,interaction,sql,应用级持久化
internal/store/sqlc/mcp_tool_lifecycle.sql.go	internal	store-sql	go-source	6914	应用级持久化 store	internal,store,sqlc,mcp,tool,lifecycle,sql,应用级持久化
internal/store/sqlc/models.go	internal	store-sql	go-source	12369	应用级持久化 store	internal,store,sqlc,models,应用级持久化
internal/store/sqlc/prompt_intent_drafts.sql.go	internal	store-sql	go-source	10420	应用级持久化 store	internal,store,sqlc,prompt,intent,drafts,sql,应用级持久化
internal/store/sqlc/prompt_routing_test.sql.go	internal	store-sql	go-source	1007	应用级持久化 store	internal,store,sqlc,prompt,routing,test,sql,应用级持久化
internal/store/sqlc/prompt_template_sections_sql_test.go	internal	store-sql	go-test	2366	应用级持久化 store	internal,store,sqlc,prompt,template,sections,sql,test,应用级持久化
internal/store/sqlc/prompt_template_sections.sql.go	internal	store-sql	go-source	14195	应用级持久化 store	internal,store,sqlc,prompt,template,sections,sql,应用级持久化
internal/store/sqlc/prompt_template_sql_test.go	internal	store-sql	go-test	1316	应用级持久化 store	internal,store,sqlc,prompt,template,sql,test,应用级持久化
internal/store/sqlc/prompt_template.sql.go	internal	store-sql	go-source	15484	应用级持久化 store	internal,store,sqlc,prompt,template,sql,应用级持久化
internal/store/sqlc/querier.go	internal	store-sql	go-source	23864	应用级持久化 store	internal,store,sqlc,querier,应用级持久化
internal/store/sqlc/session_insight.sql.go	internal	store-sql	go-source	27932	应用级持久化 store	internal,store,sqlc,session,insight,sql,应用级持久化
internal/store/sqlc/shared_file.sql.go	internal	store-sql	go-source	3353	应用级持久化 store	internal,store,sqlc,shared,file,sql,应用级持久化
internal/store/sqlc/sqlite_runtime_sql_test.go	internal	store-sql	go-test	2423	应用级持久化 store	internal,store,sqlc,sqlite,runtime,sql,test,应用级持久化
internal/store/sqlc/system_log.sql.go	internal	store-sql	go-source	6019	应用级持久化 store	internal,store,sqlc,system,log,sql,应用级持久化
internal/store/sqlc/thread_binding.sql.go	internal	store-sql	go-source	5220	应用级持久化 store	internal,store,sqlc,thread,binding,sql,应用级持久化
internal/store/sqlc/topology_approval.sql.go	internal	store-sql	go-source	4078	应用级持久化 store	internal,store,sqlc,topology,approval,sql,应用级持久化
internal/store/sqlc/turn_dedupe_registry.sql.go	internal	store-sql	go-source	4130	应用级持久化 store	internal,store,sqlc,turn,dedupe,registry,sql,应用级持久化
internal/store/sqlc/ui_preference.sql.go	internal	store-sql	go-source	2536	应用级持久化 store	internal,store,sqlc,ui,preference,sql,应用级持久化
internal/store/sqlc/workspace_run.sql.go	internal	store-sql	go-source	11474	应用级持久化 store	internal,store,sqlc,workspace,run,sql,应用级持久化
internal/store/systemlog/contract.go	internal	store-sql	go-source	1898	应用级持久化 store	internal,store,systemlog,contract,应用级持久化
